no,branch_name_th,branch_name_en,floor,mall_th,mall_en,sub_category_th,sub_category_en,status,,,,,,,,,,,,,,,,,
1522,???????????????????? ?????????????????? ???????,Government Housing Bank (GHB) The Mall Lifestore Bangkapi,2,?????????????????? ???????,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1554,????????????? ????? ????????? ?????,Bangkok Bank (BBL) The Mall Korat,1,????????? ?????,The Mall Korat,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1573,????????????? ????? ?????????????????? ???????,Bangkok Bank (BBL) The Mall Lifestore Bangkapi,2,?????????????????? ???????,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1591,????????????? ?????????????????? ???????,Krung Thai Bank (KTB) The Mall Lifestore Bangkapi,2,?????????????????? ???????,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1613,????????????? ?????????????????? ??????,Krung Thai Bank (KTB) The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1627,?????????????????????? ?????????????????? ??????,Kiatnakin Phatra Bank (KKP) The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1664,???????????? ?????????????????? ??????????,First Choice The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1670,??????????????? ????????? ?????,The Viriyah Insurance The Mall Korat,B,????????? ?????,The Mall Korat,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1683,???????????? ????????? ?????,First Choice The Mall Korat,B,????????? ?????,The Mall Korat,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1701,???????????? ?????????????????? ??????,Government Savings Bank (GSB) The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1747,????????????????? ?????????????????? ?????,Bualuang Securities The Mall Lifestore Bangkae,6,?????????????????? ?????,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1752,????????????? ?????????????????? ??????????,Krung Thai Bank (KTB) The Mall Lifestore Ngamwongwan,5,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1799,???????????????? ?????? ????????? ?????????????????? ?????,UOB Kay Hian The Mall Lifestore Bangkae,,?????????????????? ?????,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1806,??????????????????? ????????? ?????,Muang Thai Life Assurance The Mall Korat,3,????????? ?????,The Mall Korat,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1816,?????????????????? ?????????????????? ?????,TMB Thanachart Bank (TTB) The Mall Lifestore Bangkae,2,?????????????????? ?????,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
1830,???????????? ?????????????????? ???????,Tisco The Mall Lifestore Bangkapi,2,?????????????????? ???????,The Mall Lifestore Bangkapi,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
